hood.name,tract.fips,pct.of.tract
Van Nuys,06037127711,0.9978568340257148
Lake Balboa,06037127712,0.003416720261998215
Van Nuys,06037127712,0.9965832797380365
Van Nuys,06037127803,1
Van Nuys,06037127804,1
Van Nuys,06037127805,1
Van Nuys,06037127806,1
Van Nuys,06037127910,1
Valley Glen,06037127920,4.195287450572847e-6
Van Nuys,06037127920,0.9999958047125536
Valley Glen,06037128101,0.9999540871198961
Van Nuys,06037128101,4.591288007961463e-5
Valley Glen,06037128102,1.9566311577191526e-5
Van Nuys,06037128102,0.9999804336884232
Sherman Oaks,06037128210,4.728321722592701e-6
Valley Glen,06037128210,5.790862754395057e-6
Van Nuys,06037128210,0.9999894808155622
Valley Glen,06037128220,0.9999603827588126
Van Nuys,06037128220,3.9617241229819266e-5
Sherman Oaks,06037128302,1.2058771100270657e-5
Van Nuys,06037128302,0.9999879412288682
Sherman Oaks,06037128303,1.735337531215492e-5
Van Nuys,06037128303,0.9999826466247128
Encino,06037128400,0.004771005820419852
Sherman Oaks,06037128400,0.6753079294797638
Van Nuys,06037128400,0.319921064699793
Sherman Oaks,06037128500,0.9999993781890861
Valley Glen,06037128500,6.218109625123109e-7
Sherman Oaks,06037128601,0.6246002731787222
Valley Glen,06037128601,0.37539972682127265
Sherman Oaks,06037128602,0.571577200094734
Valley Glen,06037128602,0.42842279990521615
Sherman Oaks,06037128702,1
Encino,06037128801,0.0028273557414336373
Sherman Oaks,06037128801,0.9971703610223271
Van Nuys,06037128801,2.2832362063559464e-6
Sherman Oaks,06037128802,1
Encino,06037128910,0.0016770072978412266
Sherman Oaks,06037128910,0.9983229927021642
Northridge,06037131010,4.108478314992868e-6
Reseda,06037131010,0.9970142831562883
Reseda Ranch,06037131010,0.0029816083654306924
Reseda,06037131020,1
Lake Balboa,06037131100,0.9990526045892035
Northridge,06037131100,8.309728352506962e-6
Van Nuys,06037131100,9.390856823506623e-4
Lake Balboa,06037131200,5.1853798836656654e-5
Northridge,06037131200,0.9999154171560554
Reseda,06037131200,3.272904510762355e-5
Northridge,06037131300,1.1260969068965808e-5
Reseda,06037131300,0.9999887390309292
Northridge,06037131400,9.382012523276035e-6
Reseda,06037131400,0.9999906179874866
Northridge,06037131600,5.8021300507829586e-6
Reseda,06037131600,0.15049565179345697
Reseda Ranch,06037131600,0.8494729610355223
Winnetka,06037131600,2.5585040963695672e-5
Reseda,06037131701,0.9999831435910684
Winnetka,06037131701,1.685640895044856e-5
Reseda,06037131702,0.9999961698370033
Reseda Ranch,06037131702,3.830162982992869e-6
Lake Balboa,06037131800,4.1436100168157495e-5
Northridge,06037131800,6.067284221364168e-11
Reseda,06037131800,0.999958563839169
Lake Balboa,06037131900,0.9999993657859454
Northridge,06037131900,6.276869022182504e-7
Reseda,06037131900,5.853039918061596e-9
Van Nuys,06037131900,6.741178750739339e-10
Encino,06037132001,3.015685801547296e-7
Lake Balboa,06037132001,0.9999809706062883
Reseda,06037132001,1.8727825137672723e-5
Encino,06037132002,3.285237978751251e-8
Lake Balboa,06037132002,0.9999995981189888
Reseda,06037132002,3.690286134320971e-7
Encino,06037132101,6.344909994492113e-6
Lake Balboa,06037132101,0.9999912011000596
Van Nuys,06037132101,2.4539899514314233e-6
Lake Balboa,06037132102,0.8671547535012396
Van Nuys,06037132102,0.1328452464987567
Lake Balboa,06037132300,4.074555490741029e-6
Reseda,06037132300,0.9999959254445145
Reseda,06037132501,1
Reseda,06037132502,1
Encino,06037132700,1.8699708937187423e-6
Lake Balboa,06037132700,5.216112637243774e-6
Reseda,06037132700,0.9999929139165111
Encino,06037132900,0.008195029672501028
Reseda,06037132900,0.9916974110998623
Tarzana,06037132900,1.0755922763471025e-4
Reseda,06037133000,0.9999918310448506
Winnetka,06037133000,8.168773480117241e-6
Woodland Hills,06037133000,1.8163644309727556e-10
Reseda,06037133100,0.9999999672491309
Tarzana,06037133100,3.2750862826892756e-8
Canoga Park,06037134001,0.9999987995827625
Winnetka,06037134001,1.2004172263392242e-6
Canoga Park,06037134002,1.0142485294797405e-4
Winnetka,06037134002,0.9998985751470825
Reseda,06037134101,1.0476307921865131e-5
Reseda Ranch,06037134101,4.121754764408182e-6
Winnetka,06037134101,0.9999854019373525
Winnetka,06037134103,1
Winnetka,06037134104,1
Canoga Park,06037134201,0.7256987484120929
Winnetka,06037134201,0.2743012515879155
Canoga Park,06037134302,5.01604601798014e-5
West Hills,06037134302,0.9999498395398274
Canoga Park,06037134303,0.692143868402579
West Hills,06037134303,0.3078561315974414
Canoga Park,06037134304,0.9999980895837809
West Hills,06037134304,1.9104162505347694e-6
Canoga Park,06037134305,1
Canoga Park,06037134306,1
West Hills,06037134421,0.9999999029750168
Westhills,06037134421,9.702497715535098e-8
West Hills,06037134422,1
West Hills,06037134423,1
West Chatsworth,06037134424,0.34024445873026654
West Hills,06037134424,0.6597200249033786
Canoga Park,06037134520,1
Canoga Park,06037134521,1
Canoga Park,06037134522,1
Winnetka,06037134710,1
Reseda,06037134720,5.964199793993816e-5
Winnetka,06037134720,0.9999403580020417
Reseda,06037134800,1.0478124697852593e-5
Winnetka,06037134800,0.9999707738305078
Woodland Hills,06037134800,1.8748044802638932e-5
Reseda,06037134901,0.6005417741836312
Tarzana,06037134901,1.1722162202357923e-5
Winnetka,06037134901,0.0014477252740125505
Woodland Hills,06037134901,0.3979987783801716
Canoga Park,06037134903,0.9994986557197482
Woodland Hills,06037134903,5.013442802411504e-4
Canoga Park,06037134904,4.896862590199743e-4
