"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"160","Los Angeles - Mission Hills",377,1563,1496,14,58,54,24124
"161","Los Angeles - Mt. Washington",251,1040,1008,6,25,22,24145
"162","Los Angeles - North Hills",943,1531,1506,33,54,63,61575
"163","Los Angeles - North Hollywood",1690,1116,1058,41,27,30,151421
"164","Los Angeles - Northridge",746,1069,1027,36,52,42,69797
"165","Los Angeles - Pacific Palisades",88,413,491,3,14,6,21291
"166","Los Angeles - Pacoima",1662,2159,2187,25,32,42,76979
"167","Los Angeles - Palisades Highlands",15,390,423,0,0,0,3846
"168","Los Angeles - Palms",351,800,864,26,59,78,43877
"169","Los Angeles - Panorama City",1464,1946,1994,65,86,119,75250
"170","Los Angeles - Park La Brea",59,434,360,1,7,8,13580
"171","Los Angeles - Pico-Union",1149,2746,2802,71,170,202,41842
"172","Los Angeles - Playa Del Rey",16,501,607,0,0,0,3196
"173","Los Angeles - Playa Vista",71,649,582,0,0,0,10947
"174","Los Angeles - Porter Ranch",179,503,532,6,17,10,35588
"175","Los Angeles - Rancho Park",46,701,780,1,15,11,6560
"176","Los Angeles - Regent Square",18,647,627,0,0,0,2780
"177","Los Angeles - Reseda",1220,1592,1534,53,69,63,76617
"178","Los Angeles - Reseda Ranch",43,928,823,0,0,0,4636
"179","Los Angeles - Reynier Village",24,568,613,0,0,0,4228
"180","Los Angeles - San Pedro",1363,1747,1738,22,28,26,78038
"181","Los Angeles - Shadow Hills",26,585,698,0,0,0,4442
"182","Los Angeles - Sherman Oaks",529,606,652,13,15,13,87254
"183","Los Angeles - Silverlake",382,867,858,14,32,28,44083
"184","Los Angeles - South Carthay",63,595,722,1,9,6,10595
"185","Los Angeles - South Park",1151,3032,3064,16,42,54,37961
"186","Los Angeles - St Elmo Village",80,1745,1932,7,153,230,4584
"187","Los Angeles - Studio City",150,668,735,9,40,35,22440
"188","Los Angeles - Sun Valley",733,1397,1343,13,25,25,52483
"189","Los Angeles - Sunland",276,1352,1216,23,113,80,20408
"190","Los Angeles - Sycamore Square",1,155,79,0,0,0,647
"191","Los Angeles - Sylmar",1700,2063,2054,56,68,84,82398
"192","Los Angeles - Tarzana",425,1376,1234,30,97,61,30876
