hood.name,mapla.region.slug,date,confirmed.cases,population,case.rate,days.since.case.cutoff,days.since.case.rate.cutoff
Saugus/Canyon Country,northwest-county,2020-05-11,0,356,0,,
Shadow Hills,san-fernando-valley,2020-05-11,9,4442,0.002026114362899595,,20
Sherman Oaks,san-fernando-valley,2020-05-11,180,87254,0.0020629426731152726,37,2
Sierra Madre,san-gabriel-valley,2020-05-11,6,10989,5.46000546000546e-4,,
Signal Hill,harbor,2020-05-11,9,11797,7.629058235144528e-4,,
Silverlake,central-la,2020-05-11,138,44083,0.0031304584533720483,36,23
South Antelope Valley,antelope-valley,2020-05-11,0,455,0,,
South Carthay,central-la,2020-05-11,25,10595,0.0023596035865974517,,20
South Edwards,antelope-valley,2020-05-08,0,0,NaN,,
South El Monte,san-gabriel-valley,2020-05-11,45,22680,0.001984126984126984,,
South Gate,southeast,2020-05-11,314,98155,0.003199021955071061,36,17
South Park,south-la,2020-05-11,173,37961,0.004557308816943706,23,19
South Pasadena,san-gabriel-valley,2020-05-11,100,26053,0.003838329558975934,18,17
South San Gabriel,san-gabriel-valley,2020-05-11,20,8848,0.0022603978300180833,,2
South Whittier,southeast,2020-05-11,84,59222,0.00141839181385296,19,
Southeast Antelope Valley,antelope-valley,2020-05-11,0,781,0,,
St Elmo Village,central-la,2020-05-11,27,4584,0.0058900523560209425,,14
Stevenson Ranch,northwest-county,2020-05-11,23,20966,0.0010970142134885052,,
Studio City,san-fernando-valley,2020-05-11,59,22440,0.002629233511586453,7,9
Sun Valley,san-fernando-valley,2020-05-11,193,52483,0.003677381247261018,23,13
Sun Village,antelope-valley,2020-05-11,7,6036,0.0011597084161696488,,
Sunland,san-fernando-valley,2020-05-11,111,20408,0.005439043512348099,19,21
Sunrise Village,san-gabriel-valley,2020-05-11,1,1296,7.716049382716049e-4,,
Sycamore Square,central-la,2020-05-11,1,647,0.0015455950540958269,,
Sylmar,san-fernando-valley,2020-05-11,498,82398,0.006043836015437268,37,21
Tarzana,san-fernando-valley,2020-05-11,92,30876,0.0029796605777950512,25,19
Temple City,san-gabriel-valley,2020-05-11,84,36455,0.0023042106706898918,10,0
Temple-Beaudry,central-la,2020-05-11,202,39482,0.0051162555088394715,30,21
Thai Town,central-la,2020-05-11,20,9809,0.0020389438270975633,,0
Toluca Lake,san-fernando-valley,2020-05-11,13,8704,0.0014935661764705881,,
Toluca Terrace,san-fernando-valley,2020-05-11,3,1306,0.002297090352220521,,2
Toluca Woods,san-fernando-valley,2020-05-11,3,1858,0.0016146393972012918,,
Torrance,south-bay,2020-05-11,315,149268,0.0021102982554867754,41,5
Tujunga,verdugos,2020-05-11,90,27810,0.003236245954692557,17,14
Twin Lakes/Oat Mountain,northwest-county,2020-05-11,4,1658,0.0024125452352231603,,16
Universal City,san-fernando-valley,2020-05-08,0,0,NaN,,
University Hills,eastside,2020-05-11,8,3429,0.0023330417031204435,,12
University Park,south-la,2020-05-11,108,27456,0.003933566433566434,18,18
Val Verde,northwest-county,2020-05-11,4,3309,0.0012088244182532487,8,15
Valencia,northwest-county,2020-05-11,6,3072,0.001953125,,
Valinda,san-gabriel-valley,2020-05-11,35,23371,0.0014975824740062471,,
Valley Glen,san-fernando-valley,2020-05-11,100,30016,0.003331556503198294,20,19
Valley Village,san-fernando-valley,2020-05-11,170,24720,0.006877022653721683,21,21
Van Nuys,san-fernando-valley,2020-05-11,452,93194,0.004850097645771187,34,19
Venice,westside,2020-05-11,55,33885,0.001623137081304412,8,
Vermont Knolls,south-la,2020-05-11,77,17200,0.004476744186046512,14,19
Vermont Square,south-la,2020-05-11,62,7657,0.008097165991902834,9,29
Vermont Vista,south-la,2020-05-11,177,41186,0.004297576846501238,20,17
Vernon,southeast,2020-05-11,1,209,0.004784688995215311,,10
Vernon Central,south-la,2020-05-11,318,51998,0.006115619831531982,24,19
Victoria Park,central-la,2020-05-11,43,8399,0.005119657102035957,,31
View Heights,south-la,2020-05-11,8,3694,0.002165674066053059,,2
View Park/Windsor Hills,south-la,2020-05-11,28,11635,0.002406532015470563,,13
Walnut,san-gabriel-valley,2020-05-11,27,30532,8.843180924931219e-4,,
Walnut Park,southeast,2020-05-11,57,16143,0.0035309422040512915,6,21
Watts,south-la,2020-05-11,143,42674,0.0033509865491868586,21,12
Wellington Square,central-la,2020-05-11,16,4915,0.0032553407934893183,,15
West Adams,south-la,2020-05-11,149,27630,0.005392689106044155,27,24
West Antelope Valley,antelope-valley,2020-05-11,2,1511,0.0013236267372600927,,
West Carson,harbor,2020-05-11,76,22086,0.003441093905641583,17,19
West Chatsworth,san-fernando-valley,2020-05-11,0,0,NaN,,
West Covina,san-gabriel-valley,2020-05-11,175,108235,0.0016168522197071188,25,
West Hills,san-fernando-valley,2020-05-11,76,40545,0.0018744604760143051,10,
West Hollywood,central-la,2020-05-11,147,36951,0.003978241454899732,44,37
West LA,westside,2020-05-11,22,952,0.023109243697478993,,38
West Los Angeles,westside,2020-05-11,64,37636,0.0017004995217345096,17,
West Puente Valley,san-gabriel-valley,2020-05-11,27,9835,0.0027452974072191155,,4
West Rancho Dominguez,southeast,2020-05-11,3,1359,0.002207505518763797,,4
West Vernon,south-la,2020-05-11,275,53644,0.005126388785325479,33,21
West Whittier/Los Nietos,southeast,2020-05-11,55,26925,0.002042711234911792,4,2
Westchester,south-bay,2020-05-11,79,51603,0.0015309187450342034,20,
Westfield/Academy Hills,south-bay,2020-05-11,0,1300,0,,
Westhills,san-fernando-valley,2020-05-11,0,839,0,,
Westlake,central-la,2020-05-11,382,59355,0.0064358520764889226,30,21
Westlake Village,santa-monica-mountains,2020-05-11,6,8360,7.177033492822966e-4,,
Westwood,westside,2020-05-11,58,54109,0.001071910403075274,9,
White Fence Farms,antelope-valley,2020-05-11,2,3683,5.430355688297583e-4,,
Whittier,san-gabriel-valley,2020-05-11,181,91216,0.001984300999824592,30,
Whittier Narrows,san-gabriel-valley,2020-05-11,0,0,NaN,,
Wholesale District,central-la,2020-05-11,245,36129,0.006781256054692906,19,14
Willowbrook,south-la,2020-05-11,85,34913,0.0024346232062555494,10,4
Wilmington,harbor,2020-05-11,131,56487,0.002319117673092924,21,6
Wilshire Center,central-la,2020-05-11,153,50170,0.003049631253737293,26,12
Winnetka,san-fernando-valley,2020-05-11,210,51786,0.0040551500405515,27,18
Wiseburn,south-bay,2020-05-11,9,6027,0.0014932802389248383,,
Woodland Hills,san-fernando-valley,2020-05-11,131,68055,0.0019249136727646757,35,
